"filename", "language", "JavaScript", "CSV", "YAML", "Database", "Python", "JSON", "XML", "JavaScript JSX", "PostCSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/backend/analysis.py", "Python", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 11, 74
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/backend/analysis_2.py", "Python", 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 18, 45, 262
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/backend/db.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 119
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/backend/package-lock.json", "JSON", 0, 0, 0, 0, 0, 2494, 0, 0, 0, 0, 0, 0, 1, 2495
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/backend/package.json", "JSON", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/backend/remoteTelemetryStore.js", "JavaScript", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 335
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/backend/simulate-telemetry.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 135
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/build/create_icon.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 4, 13
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/data/methane20260310005557.csv", "CSV", 0, 613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 614
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/data/telemetry_events.db", "Database", 0, 0, 0, 506, 0, 0, 0, 0, 0, 0, 0, 0, 4, 510
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/electron/main.cjs", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 169
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/electron/preload.cjs", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/mqtt-bridge/UDP-broker.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/mqtt-bridge/bridge_to_hivemq_cloud.mjs", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 149
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/mqtt-bridge/bridge_to_hivemq_cloud_2.mjs", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 136
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/mqtt-bridge/package-lock.json", "JSON", 0, 0, 0, 0, 0, 533, 0, 0, 0, 0, 0, 0, 1, 534
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/mqtt-bridge/package.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/package-lock.json", "JSON", 0, 0, 0, 0, 0, 9245, 0, 0, 0, 0, 0, 0, 1, 9246
"/Users/jorgerangel/Documents/dev/Electron-Drone-Data/package.json", "JSON", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 1, 93
"Total", "-", 2271, 613, 59, 506, 268, 19163, 20, 5066, 260, 13, 9, 78, 1052, 29378
