time,methane_concentration,light_intensity,absorption_peak,relativity,pcb_temperature,laser_temperature,tec_current,laser_housing_temperature,SNR,status,ver,err_code,flight_status,longitude,latitude,altitude,relative_altitude,home_distance,speed,dis_code,distance,dest_longitude,dest_latitude,uav_pitch,uav_roll,uav_yaw,gimbal_pitch,gimbal_roll,gimbal_yaw,camera_focal_length,camera_zoom,file_name
2026-03-10_00:55:59:565,0,44,763,990,32,24,161,26,2,0,19,0,2,-75.6987832,45.3853644,  32.1,   0.5,0.2, 0.1,0,46.0,-75.6988435,45.3857759,-0.9,-2.5,-8.7,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:55:59:665,0,43,763,992,32,24,149,26,2,0,19,0,2,-75.6987832,45.3853644,  32.0,   0.5,0.2, 0.1,0,45.7,-75.6988430,45.3857732,-1.9,-2.6,-8.6,-0.8,-2.1,-5.9,8,8,
2026-03-10_00:55:59:765,0,44,763,993,32,24,151,26,1,0,19,0,2,-75.6987831,45.3853643,  32.0,   0.5,0.2, 0.0,0,45.7,-75.6988430,45.3857731,-2.6,-2.4,-8.6,-0.8,-2.2,-5.9,8,8,
2026-03-10_00:55:59:865,0,44,763,993,32,24,151,26,1,0,19,0,2,-75.6987831,45.3853643,  32.0,   0.5,0.2, 0.0,0,45.7,-75.6988409,45.3857733,-2.4,-2.5,-8.6,-0.7,-2.1,-5.7,8,8,
2026-03-10_00:55:59:966,0,45,763,992,32,24,158,26,3,0,19,0,2,-75.6987830,45.3853643,  32.0,   0.5,0.2, 0.1,0,45.7,-75.6988429,45.3857732,-1.4,-2.6,-8.5,-0.7,-2.2,-5.9,8,8,
2026-03-10_00:56:00:066,0,48,763,994,32,24,163,26,2,0,19,0,2,-75.6987830,45.3853644,  32.0,   0.5,0.2, 0.0,0,45.7,-75.6988419,45.3857733,-0.5,-2.5,-8.5,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:00:166,0,49,763,992,32,24,155,26,0,0,19,0,2,-75.6987829,45.3853644,  32.0,   0.5,0.2, 0.0,0,45.7,-75.6988429,45.3857732,-0.3,-2.5,-8.4,-0.6,-2.1,-5.9,8,8,
2026-03-10_00:56:00:266,0,47,763,991,32,24,146,26,0,0,19,0,2,-75.6987829,45.3853644,  32.0,   0.5,0.2, 0.0,0,45.7,-75.6988418,45.3857733,-0.9,-2.7,-8.4,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:00:366,0,44,763,993,32,24,151,26,1,0,19,0,2,-75.6987829,45.3853644,  32.0,   0.5,0.2, 0.0,0,45.7,-75.6988418,45.3857733,-1.7,-2.7,-8.4,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:00:466,0,47,763,993,32,24,166,26,5,0,19,0,2,-75.6987828,45.3853645,  32.0,   0.5,0.2, 0.0,0,45.7,-75.6988427,45.3857733,-2.0,-2.5,-8.4,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:00:566,0,45,763,991,32,24,163,26,0,0,19,0,2,-75.6987828,45.3853645,  32.0,   0.5,0.2, 0.0,0,45.7,-75.6988426,45.3857733,-1.4,-2.5,-8.5,-0.8,-2.2,-5.9,8,8,
2026-03-10_00:56:00:666,0,45,763,991,32,24,163,26,0,0,19,0,2,-75.6987828,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988405,45.3857653,-0.9,-2.5,-8.5,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:00:766,0,42,763,991,32,24,151,26,3,0,19,0,2,-75.6987827,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988405,45.3857654,-0.5,-2.4,-8.5,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:00:866,0,44,763,992,32,24,149,26,8,0,19,0,2,-75.6987827,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988415,45.3857653,-0.6,-2.3,-8.4,-0.6,-2.1,-5.9,8,8,
2026-03-10_00:56:00:966,0,42,763,991,32,24,161,26,4,0,19,0,2,-75.6987827,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988414,45.3857654,-0.8,-2.3,-8.4,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:01:066,0,40,763,989,32,24,161,26,0,0,19,0,2,-75.6987827,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988414,45.3857654,-1.3,-2.5,-8.4,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:01:166,0,42,764,991,32,24,158,26,5,0,19,0,2,-75.6987826,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988403,45.3857655,-1.5,-2.7,-8.3,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:01:266,0,44,763,990,32,24,148,26,6,0,19,0,2,-75.6987826,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988413,45.3857654,-1.4,-2.8,-8.2,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:01:366,0,44,763,990,32,24,148,26,6,0,19,0,2,-75.6987826,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988403,45.3857654,-1.0,-2.6,-8.2,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:01:466,0,42,763,990,32,23,149,26,1,0,19,0,2,-75.6987826,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988413,45.3857653,-0.6,-2.2,-8.3,-0.6,-2.1,-5.9,8,8,
2026-03-10_00:56:01:566,0,46,763,991,32,24,163,26,0,0,19,0,2,-75.6987826,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.8,-75.6988413,45.3857653,-0.6,-2.2,-8.4,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:01:667,0,47,763,991,32,24,163,26,3,0,19,0,2,-75.6987826,45.3853646,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988402,45.3857582,-0.7,-2.4,-8.4,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:01:767,0,44,763,991,32,24,148,26,2,0,19,0,2,-75.6987825,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988402,45.3857581,-1.0,-2.8,-8.4,-0.6,-2.1,-5.9,8,8,
2026-03-10_00:56:01:867,0,44,763,990,32,24,151,26,0,0,19,0,2,-75.6987825,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988402,45.3857581,-1.2,-2.8,-8.4,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:01:967,0,44,763,993,32,24,160,26,5,0,19,0,2,-75.6987825,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988392,45.3857582,-1.3,-2.6,-8.4,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:02:067,0,44,763,992,32,24,164,26,1,0,19,0,2,-75.6987825,45.3853645,  32.1,   0.5,0.2, 0.0,0,44.0,-75.6988391,45.3857582,-1.3,-2.3,-8.4,-0.8,-2.1,-5.8,8,8,
