time,methane_concentration,light_intensity,absorption_peak,relativity,pcb_temperature,laser_temperature,tec_current,laser_housing_temperature,SNR,status,ver,err_code,flight_status,longitude,latitude,altitude,relative_altitude,home_distance,speed,dis_code,distance,dest_longitude,dest_latitude,uav_pitch,uav_roll,uav_yaw,gimbal_pitch,gimbal_roll,gimbal_yaw,camera_focal_length,camera_zoom,file_name
2026-03-10_00:56:07:470,0,16,763,952,32,24,151,26,1,0,19,0,2,-75.6987839,45.3853659,  32.9,   1.3,0.2, 0.5,0,93.5,-75.6989085,45.3862022,-7.1,-1.3,-8.3,-0.7,-2.0,-6.0,8,8,
2026-03-10_00:56:07:570,0,16,763,952,32,24,151,26,1,0,19,0,2,-75.6987841,45.3853665,  32.9,   1.3,0.2, 0.6,0,93.3,-75.6989085,45.3862009,-3.2,-1.1,-8.3,-0.6,-2.0,-6.0,8,8,
2026-03-10_00:56:07:670,0,16,763,974,32,24,151,26,1,0,19,0,2,-75.6987843,45.3853670,  32.9,   1.4,0.3, 0.6,0,93.3,-75.6989067,45.3862016, 2.4,-0.8,-8.2,-0.5,-2.0,-5.9,8,8,
2026-03-10_00:56:07:770,0,17,763,993,32,24,169,26,1,0,19,0,2,-75.6987845,45.3853675,  32.9,   1.4,0.3, 0.5,0,93.3,-75.6989027,45.3862025, 6.8,-0.7,-8.1,-0.6,-2.0,-5.7,8,8,
2026-03-10_00:56:07:870,0,13,763,963,32,24,160,26,1,0,19,0,2,-75.6987846,45.3853679,  32.9,   1.4,0.4, 0.4,0,93.3,-75.6989027,45.3862028, 7.9,-0.8,-8.0,-0.7,-2.0,-5.7,8,8,
2026-03-10_00:56:07:970,0,13,763,962,32,24,157,26,0,0,19,0,2,-75.6987847,45.3853682,  32.9,   1.4,0.4, 0.2,0,93.3,-75.6989029,45.3862031, 6.1,-1.2,-8.0,-0.7,-2.0,-5.7,8,8,
2026-03-10_00:56:08:070,0,14,763,993,32,24,148,26,2,0,19,0,2,-75.6987848,45.3853684,  32.9,   1.4,0.4, 0.2,0,93.3,-75.6989049,45.3862031, 2.9,-1.5,-8.0,-0.8,-2.0,-5.8,8,8,
2026-03-10_00:56:08:170,0,15,763,988,32,24,160,26,4,0,19,0,2,-75.6987848,45.3853685,  32.9,   1.4,0.4, 0.1,0,93.3,-75.6989071,45.3862031, 0.4,-1.6,-8.2,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:08:270,0,17,763,983,32,23,163,26,4,0,19,0,2,-75.6987848,45.3853686,  32.9,   1.4,0.4, 0.1,0,93.3,-75.6989051,45.3862033,-0.3,-2.0,-8.4,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:08:370,0,17,763,983,32,23,163,26,4,0,19,0,2,-75.6987849,45.3853687,  32.9,   1.4,0.4, 0.1,0,93.3,-75.6989051,45.3862034,-0.2,-3.0,-8.4,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:08:470,0,14,763,982,32,24,164,26,5,0,19,0,2,-75.6987849,45.3853688,  32.9,   1.4,0.5, 0.2,0,93.3,-75.6989073,45.3862034, 0.0,-3.8,-8.4,-0.6,-2.2,-5.9,8,8,
2026-03-10_00:56:08:570,0,14,763,962,32,24,148,26,1,0,19,0,2,-75.6987851,45.3853689,  32.9,   1.4,0.5, 0.2,0,92.9,-75.6989048,45.3862001, 0.3,-4.4,-8.3,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:08:670,0,12,763,962,32,24,149,26,0,0,19,0,2,-75.6987853,45.3853690,  32.9,   1.3,0.5, 0.2,0,92.9,-75.6989071,45.3862000, 0.4,-4.6,-8.3,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:08:770,0,11,763,962,32,24,161,26,0,0,19,0,2,-75.6987856,45.3853691,  32.9,   1.3,0.5, 0.2,0,92.9,-75.6989073,45.3862002, 0.4,-4.5,-8.3,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:08:871,0,13,763,972,32,24,166,26,0,0,19,0,2,-75.6987859,45.3853692,  32.9,   1.3,0.5, 0.3,0,92.9,-75.6989077,45.3862002, 0.2,-4.1,-8.4,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:08:971,0,12,763,987,32,24,160,26,0,0,19,0,2,-75.6987863,45.3853692,  32.9,   1.3,0.5, 0.3,0,92.9,-75.6989080,45.3862002,-0.1,-3.9,-8.3,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:09:071,0,12,763,987,32,24,160,26,0,0,19,0,2,-75.6987867,45.3853692,  32.9,   1.3,0.5, 0.3,0,92.9,-75.6989065,45.3862004,-0.1,-4.2,-8.3,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:09:171,0,13,763,964,32,24,152,26,5,0,19,0,2,-75.6987871,45.3853692,  32.9,   1.3,0.5, 0.4,0,92.9,-75.6989069,45.3862004,-0.0,-5.1,-8.2,-0.6,-2.2,-5.8,8,8,
2026-03-10_00:56:09:271,0,18,763,978,32,24,157,26,1,0,19,0,2,-75.6987875,45.3853692,  32.9,   1.3,0.5, 0.4,0,92.9,-75.6989092,45.3862003, 0.0,-5.8,-8.1,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:09:371,0,24,763,980,32,24,163,26,2,0,19,0,2,-75.6987882,45.3853692,  32.9,   1.3,0.6, 0.5,0,92.9,-75.6989078,45.3862004,-0.2,-6.2,-8.1,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:09:471,0,37,763,991,32,24,160,26,2,0,19,0,2,-75.6987888,45.3853692,  32.9,   1.3,0.6, 0.6,0,92.9,-75.6989085,45.3862004,-0.4,-5.8,-8.1,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:09:671,290,98,763,992,32,24,154,26,9,0,19,0,2,-75.6987903,45.3853691,  32.9,   1.3,0.6, 0.6,0,86.2,-75.6989014,45.3861404,-0.3,-0.1,-8.0,-0.6,-1.9,-5.8,8,8,
2026-03-10_00:56:09:771,202,103,763,995,32,24,166,26,8,0,19,0,2,-75.6987910,45.3853691,  32.9,   1.3,0.7, 0.6,0,86.2,-75.6989022,45.3861403, 0.2, 3.6,-8.0,-0.6,-2.0,-5.8,8,8,
2026-03-10_00:56:09:871,202,103,763,995,32,24,166,26,8,0,19,0,2,-75.6987916,45.3853691,  32.9,   1.3,0.7, 0.4,0,86.2,-75.6989045,45.3861402, 0.3, 4.2,-8.0,-0.8,-2.2,-5.9,8,8,
2026-03-10_00:56:09:971,123,79,763,994,32,24,163,26,2,0,19,0,2,-75.6987920,45.3853691,  32.9,   1.3,0.7, 0.3,0,86.2,-75.6989031,45.3861403,-0.4, 2.0,-8.1,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:10:071,0,72,763,993,32,24,157,26,0,0,19,0,2,-75.6987925,45.3853691,  32.9,   1.3,0.8, 0.3,0,86.2,-75.6989054,45.3861402,-1.8,-0.8,-8.1,-0.7,-2.2,-5.9,8,8,
2026-03-10_00:56:10:171,207,71,763,993,32,24,151,26,0,0,19,0,2,-75.6987895,45.3853692,  32.9,   1.3,0.8, 0.3,0,86.2,-75.6988987,45.3861405,-3.2,-2.6,-8.0,-0.7,-2.0,-5.9,8,8,20260310_005610.jpg
2026-03-10_00:56:10:271,0,32,763,985,32,24,157,26,4,0,19,0,2,-75.6987932,45.3853692,  32.9,   1.3,0.8, 0.4,0,86.2,-75.6989061,45.3861403,-4.2,-2.8,-7.9,-0.7,-2.2,-5.9,8,8,
2026-03-10_00:56:10:371,0,20,763,979,32,24,167,26,2,0,19,0,2,-75.6987936,45.3853694,  32.9,   1.3,0.8, 0.4,0,86.2,-75.6989065,45.3861404,-5.0,-2.0,-7.9,-0.8,-2.1,-5.9,8,8,
2026-03-10_00:56:10:471,0,9,763,945,32,24,160,26,2,0,19,0,2,-75.6987940,45.3853695,  32.9,   1.3,0.9, 0.5,0,86.2,-75.6989070,45.3861406,-5.4,-0.9,-8.0,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:10:572,0,7,763,946,32,23,148,26,1,0,19,0,2,-75.6987945,45.3853698,  32.9,   1.3,0.9, 0.5,0,85.8,-75.6989089,45.3861372,-5.6,-0.2,-8.1,-0.7,-2.0,-6.0,8,8,
2026-03-10_00:56:10:672,0,7,763,946,32,23,148,26,1,0,19,0,2,-75.6987949,45.3853702,  32.9,   1.3,1.0, 0.6,0,85.8,-75.6989074,45.3861377,-5.0,-0.3,-8.2,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:10:772,0,6,764,986,32,24,154,26,0,0,19,0,2,-75.6987954,45.3853707,  32.9,   1.3,1.0, 0.6,0,85.8,-75.6989079,45.3861382,-1.7,-0.4,-8.2,-0.6,-2.0,-5.9,8,8,
2026-03-10_00:56:10:872,0,7,763,978,32,24,169,26,0,0,19,0,2,-75.6987958,45.3853712,  32.9,   1.3,1.1, 0.6,0,85.8,-75.6989084,45.3861387, 3.0,-0.2,-8.1,-0.6,-2.0,-5.9,8,8,
2026-03-10_00:56:10:972,0,7,763,956,32,24,164,26,5,0,19,0,2,-75.6987962,45.3853717,  32.9,   1.3,1.2, 0.5,0,85.8,-75.6989049,45.3861394, 6.3, 0.1,-8.0,-0.6,-2.1,-5.7,8,8,
2026-03-10_00:56:11:072,0,6,763,856,32,24,151,26,2,0,19,0,2,-75.6987965,45.3853720,  32.9,   1.3,1.2, 0.4,0,85.8,-75.6989032,45.3861399, 7.0, 0.1,-8.0,-0.7,-2.1,-5.6,8,8,
2026-03-10_00:56:11:172,0,6,763,944,32,24,152,26,1,0,19,0,2,-75.6987966,45.3853721,  32.9,   1.3,1.2, 0.2,0,85.8,-75.6989052,45.3861399, 5.3,-0.3,-8.3,-0.7,-2.1,-5.7,8,8,
2026-03-10_00:56:11:272,0,6,763,817,32,24,163,26,2,0,19,0,2,-75.6987967,45.3853723,  32.9,   1.3,1.2, 0.2,0,85.8,-75.6989073,45.3861399, 2.7,-0.8,-8.6,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:11:372,0,8,763,956,32,24,167,26,1,0,19,0,2,-75.6987968,45.3853724,  32.9,   1.3,1.3, 0.1,0,85.8,-75.6989073,45.3861400, 0.7,-0.9,-8.9,-0.8,-2.0,-5.8,8,8,
2026-03-10_00:56:11:472,0,8,763,956,32,24,167,26,1,0,19,0,2,-75.6987969,45.3853724,  32.9,   1.3,1.3, 0.1,0,85.8,-75.6989093,45.3861399,-0.0,-0.7,-9.1,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:11:572,0,7,763,824,32,24,163,26,4,0,19,0,2,-75.6987969,45.3853726,  32.9,   1.3,1.3, 0.1,0,84.9,-75.6989063,45.3861322, 0.0,-0.5,-9.4,-0.7,-2.0,-5.8,8,8,
2026-03-10_00:56:11:672,0,6,763,972,32,24,149,26,1,0,19,0,2,-75.6987969,45.3853727,  32.8,   1.3,1.3, 0.1,0,84.9,-75.6989063,45.3861323, 0.3,-0.9,-9.5,-0.7,-2.0,-5.8,8,8,
2026-03-10_00:56:11:772,0,7,763,881,32,24,157,26,5,0,19,0,2,-75.6987969,45.3853728,  32.8,   1.3,1.3, 0.1,0,84.9,-75.6989062,45.3861324, 0.6,-1.5,-9.6,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:11:872,0,7,763,972,32,24,163,26,4,0,19,0,2,-75.6987968,45.3853729,  32.8,   1.3,1.3, 0.1,0,84.9,-75.6989081,45.3861323, 0.6,-2.5,-9.8,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:11:972,0,7,763,978,32,24,163,26,2,0,19,0,2,-75.6987968,45.3853729,  32.8,   1.3,1.3, 0.0,0,84.9,-75.6989080,45.3861324, 0.7,-3.4,-9.8,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:12:072,0,8,763,981,32,24,152,26,2,0,19,0,2,-75.6987968,45.3853730,  32.8,   1.3,1.3, 0.0,0,84.9,-75.6989080,45.3861324, 0.7,-3.6,-9.9,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:12:172,0,8,763,981,32,24,152,26,2,0,19,0,2,-75.6987968,45.3853730,  32.8,   1.3,1.3, 0.0,0,84.9,-75.6989080,45.3861324, 0.4,-2.9,-9.9,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:12:272,0,8,763,872,32,24,154,26,4,0,19,0,2,-75.6987968,45.3853730,  32.8,   1.3,1.3, 0.0,0,84.9,-75.6989081,45.3861324, 0.1,-1.8,-10.0,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:12:373,0,8,763,984,32,24,172,26,3,0,19,0,2,-75.6987968,45.3853729,  32.8,   1.3,1.3, 0.0,0,84.9,-75.6989081,45.3861324,-0.3,-1.0,-9.9,-0.6,-2.0,-5.9,8,8,
2026-03-10_00:56:12:473,0,7,763,838,32,24,166,26,2,0,19,0,2,-75.6987968,45.3853729,  32.8,   1.3,1.3, 0.1,0,84.9,-75.6989081,45.3861324,-0.9,-1.0,-9.9,-0.6,-2.0,-5.9,8,8,
2026-03-10_00:56:12:573,0,6,763,984,32,24,154,26,5,0,19,0,2,-75.6987967,45.3853729,  32.8,   1.3,1.3, 0.1,0,84.9,-75.6989080,45.3861323,-1.4,-1.5,-9.8,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:12:673,0,6,763,978,32,24,154,26,3,0,19,0,2,-75.6987966,45.3853729,  32.8,   1.2,1.3, 0.1,0,84.6,-75.6989056,45.3861298,-1.6,-2.5,-9.8,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:12:773,0,8,763,935,32,24,161,26,0,0,19,0,2,-75.6987965,45.3853729,  32.8,   1.2,1.3, 0.1,0,84.6,-75.6989073,45.3861296,-1.7,-3.2,-9.9,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:12:873,0,7,763,969,32,24,166,26,2,0,19,0,2,-75.6987964,45.3853729,  32.8,   1.2,1.3, 0.1,0,84.6,-75.6989053,45.3861298,-1.7,-3.3,-9.9,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:12:973,0,7,763,969,32,24,166,26,2,0,19,0,2,-75.6987963,45.3853728,  32.8,   1.2,1.3, 0.1,0,84.6,-75.6989052,45.3861297,-1.3,-3.5,-10.0,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:13:073,0,9,763,941,32,24,163,26,3,0,19,0,2,-75.6987962,45.3853729,  32.8,   1.2,1.3, 0.0,0,84.6,-75.6989071,45.3861296,-0.6,-3.4,-10.1,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:13:173,0,10,763,957,32,24,154,26,3,0,19,0,2,-75.6987962,45.3853729,  32.8,   1.2,1.3, 0.0,0,84.6,-75.6989052,45.3861298, 0.0,-3.1,-10.2,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:13:273,0,14,763,972,32,24,158,26,1,0,19,0,2,-75.6987962,45.3853728,  32.8,   1.2,1.3, 0.0,0,84.6,-75.6989070,45.3861296,-0.2,-2.8,-10.1,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:13:373,0,13,763,966,32,24,169,26,1,0,19,0,2,-75.6987961,45.3853728,  32.8,   1.2,1.2, 0.0,0,84.6,-75.6989052,45.3861297,-0.9,-3.1,-10.0,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:13:473,0,15,763,979,32,24,164,26,1,0,19,0,2,-75.6987961,45.3853728,  32.8,   1.2,1.2, 0.0,0,84.6,-75.6989051,45.3861297,-1.8,-3.5,-9.9,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:13:573,0,17,763,992,32,24,151,26,0,0,19,0,2,-75.6987961,45.3853728,  32.8,   1.2,1.2, 0.0,0,84.6,-75.6989070,45.3861295,-1.9,-3.6,-9.8,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:13:673,0,19,763,978,32,24,151,26,0,0,19,0,2,-75.6987962,45.3853727,  32.7,   1.2,1.2, 0.0,0,85.0,-75.6989076,45.3861331,-1.3,-3.1,-9.7,-0.6,-2.1,-5.9,8,8,
2026-03-10_00:56:13:773,0,19,763,978,32,24,151,26,0,0,19,0,2,-75.6987962,45.3853727,  32.7,   1.2,1.2, 0.1,0,85.0,-75.6989076,45.3861330,-0.6,-2.4,-9.6,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:13:873,0,14,763,953,32,24,169,26,0,0,19,0,2,-75.6987962,45.3853726,  32.7,   1.2,1.2, 0.1,0,85.0,-75.6989058,45.3861331,-0.3,-2.2,-9.5,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:13:973,0,19,763,979,32,24,161,26,2,0,19,0,2,-75.6987962,45.3853726,  32.7,   1.2,1.2, 0.1,0,85.0,-75.6989058,45.3861331,-0.6,-2.4,-9.4,-0.6,-2.2,-5.8,8,8,
2026-03-10_00:56:14:073,0,19,763,981,32,24,157,26,0,0,19,0,2,-75.6987963,45.3853725,  32.7,   1.2,1.2, 0.1,0,85.0,-75.6989057,45.3861330,-1.5,-2.4,-9.3,-0.8,-2.1,-5.8,8,8,
2026-03-10_00:56:14:173,0,18,763,984,32,24,155,26,3,0,19,0,2,-75.6987963,45.3853724,  32.7,   1.2,1.2, 0.1,0,85.0,-75.6989076,45.3861328,-2.5,-2.4,-9.2,-0.7,-2.2,-5.9,8,8,
2026-03-10_00:56:14:273,0,19,763,984,32,24,161,26,0,0,19,0,2,-75.6987963,45.3853723,  32.7,   1.2,1.2, 0.1,0,85.0,-75.6989077,45.3861327,-2.8,-2.5,-9.1,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:14:374,0,20,763,981,32,24,167,26,2,0,19,0,2,-75.6987963,45.3853723,  32.7,   1.2,1.2, 0.0,0,85.0,-75.6989057,45.3861327,-2.2,-2.7,-9.0,-0.8,-2.1,-5.8,8,8,
2026-03-10_00:56:14:474,0,22,763,987,32,24,163,26,9,0,19,0,2,-75.6987963,45.3853722,  32.7,   1.2,1.2, 0.0,0,85.0,-75.6989077,45.3861326,-1.5,-2.6,-8.8,-0.7,-2.2,-5.9,8,8,
2026-03-10_00:56:14:574,0,22,763,987,32,24,163,26,9,0,19,0,2,-75.6987963,45.3853722,  32.7,   1.2,1.2, 0.0,0,85.0,-75.6989077,45.3861325,-1.0,-2.3,-8.7,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:14:674,0,23,763,979,32,24,157,26,5,0,19,0,2,-75.6987964,45.3853721,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987964,45.3853721,-0.5,-2.3,-8.6,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:14:774,0,21,763,982,32,24,157,26,1,0,19,0,2,-75.6987964,45.3853721,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987964,45.3853721,-0.2,-2.6,-8.5,-0.6,-2.1,-5.9,8,8,
2026-03-10_00:56:14:874,0,19,763,984,32,24,167,26,1,0,19,0,2,-75.6987964,45.3853720,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987964,45.3853720,-0.6,-2.9,-8.4,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:14:974,0,21,763,989,32,24,167,26,1,0,19,0,2,-75.6987964,45.3853719,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987964,45.3853719,-1.7,-3.3,-8.2,-0.8,-2.2,-5.8,8,8,
2026-03-10_00:56:15:074,0,22,763,986,32,24,151,26,0,0,19,0,2,-75.6987964,45.3853719,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987964,45.3853719,-2.8,-3.6,-8.0,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:15:174,0,22,763,990,32,24,155,26,7,0,19,0,2,-75.6987965,45.3853718,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987965,45.3853718,-2.9,-3.2,-7.7,-0.7,-2.1,-5.7,8,8,
2026-03-10_00:56:15:274,0,22,763,990,32,24,155,26,7,0,19,0,2,-75.6987965,45.3853717,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987965,45.3853717,-2.4,-2.2,-7.5,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:15:374,0,20,763,980,32,24,164,26,3,0,19,0,2,-75.6987965,45.3853717,  32.8,   1.2,1.2, 0.0,1, 0.0,-75.6987965,45.3853717,-1.6,-1.1,-7.4,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:15:474,0,19,763,978,32,24,167,26,1,0,19,0,2,-75.6987965,45.3853717,  32.8,   1.2,1.2, 0.0,1, 0.0,-75.6987965,45.3853717,-1.1,-1.4,-7.3,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:15:574,0,20,763,985,32,24,160,26,9,0,19,0,2,-75.6987964,45.3853717,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987964,45.3853717,-1.0,-2.5,-7.3,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:15:674,0,24,763,976,32,24,155,26,2,0,19,0,2,-75.6987964,45.3853717,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987964,45.3853717,-1.3,-3.3,-7.3,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:15:774,0,28,763,990,32,24,158,26,3,0,19,0,2,-75.6987964,45.3853716,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987964,45.3853716,-1.6,-3.4,-7.4,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:15:874,0,23,763,984,32,24,169,26,2,0,19,0,2,-75.6987964,45.3853716,  32.8,   1.2,1.2, 0.0,1, 0.0,-75.6987964,45.3853716,-2.1,-3.3,-7.5,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:15:974,0,22,763,978,32,23,160,26,1,0,19,0,2,-75.6987964,45.3853716,  32.8,   1.2,1.2, 0.0,1, 0.0,-75.6987964,45.3853716,-2.4,-3.2,-7.8,-0.7,-2.2,-5.9,8,8,
2026-03-10_00:56:16:075,0,22,763,978,32,23,160,26,1,0,19,0,2,-75.6987964,45.3853716,  32.8,   1.2,1.2, 0.0,1, 0.0,-75.6987964,45.3853716,-2.2,-3.3,-8.0,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:16:175,0,25,763,985,32,24,157,26,3,0,19,0,2,-75.6987965,45.3853716,  32.8,   1.2,1.2, 0.0,1, 0.0,-75.6987965,45.3853716,-1.3,-3.5,-8.1,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:16:275,0,23,763,986,32,24,158,26,2,0,19,0,2,-75.6987966,45.3853716,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987966,45.3853716,-0.6,-3.4,-8.0,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:16:375,0,22,763,984,32,24,173,26,1,0,19,0,2,-75.6987967,45.3853715,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987967,45.3853715,-0.7,-2.7,-7.8,-0.6,-2.1,-5.8,8,8,
2026-03-10_00:56:16:475,0,16,763,975,32,24,166,26,0,0,19,0,2,-75.6987968,45.3853715,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987968,45.3853715,-1.4,-1.5,-7.4,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:16:575,0,14,763,986,32,24,154,26,2,0,19,0,2,-75.6987968,45.3853715,  32.8,   1.2,1.2, 0.1,1, 0.0,-75.6987968,45.3853715,-2.2,-0.8,-7.2,-0.7,-2.0,-5.8,8,8,
2026-03-10_00:56:16:675,0,13,763,990,32,24,157,26,4,0,19,0,2,-75.6987968,45.3853714,  32.8,   1.2,1.2, 0.0,0,92.5,-75.6989201,45.3861987,-2.8,-1.0,-7.1,-0.7,-2.0,-6.0,8,8,
2026-03-10_00:56:16:775,0,16,763,993,32,24,160,26,0,0,19,0,2,-75.6987968,45.3853714,  32.8,   1.2,1.2, 0.0,0,92.5,-75.6989160,45.3861990,-3.0,-1.8,-7.0,-0.7,-2.0,-5.8,8,8,
2026-03-10_00:56:16:875,0,16,763,993,32,24,160,26,0,0,19,0,2,-75.6987967,45.3853714,  32.8,   1.2,1.2, 0.0,0,92.5,-75.6989178,45.3861989,-2.9,-2.8,-6.9,-0.8,-2.2,-5.9,8,8,
2026-03-10_00:56:16:975,0,16,763,992,32,24,172,26,0,0,19,0,2,-75.6987967,45.3853715,  32.8,   1.2,1.2, 0.0,0,92.5,-75.6989179,45.3861989,-2.6,-3.2,-6.8,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:17:075,0,19,763,983,32,24,164,26,6,0,19,0,2,-75.6987966,45.3853715,  32.8,   1.2,1.2, 0.0,0,92.5,-75.6989179,45.3861989,-2.2,-3.0,-6.9,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:17:175,0,20,763,980,32,24,155,26,5,0,19,0,2,-75.6987966,45.3853715,  32.8,   1.2,1.2, 0.0,0,92.5,-75.6989178,45.3861989,-1.9,-2.4,-7.0,-0.8,-2.1,-5.9,8,8,
2026-03-10_00:56:17:275,0,19,763,980,32,24,157,26,0,0,19,0,2,-75.6987966,45.3853715,  32.8,   1.2,1.2, 0.1,0,92.5,-75.6989178,45.3861990,-1.8,-2.0,-7.1,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:17:375,0,21,763,974,32,24,172,26,4,0,19,0,2,-75.6987966,45.3853716,  32.8,   1.2,1.2, 0.1,0,92.5,-75.6989178,45.3861990,-2.0,-2.4,-7.4,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:17:475,0,28,763,987,32,24,170,26,4,0,19,0,2,-75.6987965,45.3853716,  32.8,   1.2,1.2, 0.1,0,92.5,-75.6989157,45.3861992,-2.2,-3.2,-7.6,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:17:575,0,28,763,987,32,24,170,26,4,0,19,0,2,-75.6987965,45.3853716,  32.8,   1.2,1.2, 0.1,0,92.5,-75.6989156,45.3861992,-2.3,-3.9,-7.8,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:17:675,0,36,763,990,32,24,154,26,2,0,19,0,2,-75.6987965,45.3853717,  32.7,   1.2,1.2, 0.1,0,92.5,-75.6989156,45.3861993,-1.9,-4.1,-7.9,-0.7,-2.2,-5.8,8,8,
2026-03-10_00:56:17:775,0,41,763,992,32,24,154,26,5,0,19,0,2,-75.6987965,45.3853717,  32.7,   1.2,1.2, 0.0,0,92.5,-75.6989177,45.3861991,-1.4,-3.9,-8.1,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:17:875,0,46,763,993,32,24,160,26,1,0,19,0,2,-75.6987965,45.3853717,  32.7,   1.2,1.2, 0.1,0,92.5,-75.6989157,45.3861993,-0.9,-3.4,-8.1,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:17:975,0,42,763,989,32,24,172,26,1,0,19,0,2,-75.6987966,45.3853718,  32.7,   1.2,1.2, 0.1,0,92.5,-75.6989178,45.3861992,-0.9,-2.9,-8.0,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:18:076,0,31,763,990,32,24,164,26,6,0,19,0,2,-75.6987966,45.3853718,  32.7,   1.2,1.2, 0.1,0,92.5,-75.6989179,45.3861992,-1.2,-2.4,-7.7,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:18:176,0,25,763,988,32,23,149,26,3,0,19,0,2,-75.6987967,45.3853718,  32.7,   1.2,1.2, 0.1,0,92.5,-75.6989159,45.3861994,-1.4,-1.8,-7.5,-0.7,-2.0,-5.8,8,8,
2026-03-10_00:56:18:276,0,23,763,986,32,24,157,26,4,0,19,0,2,-75.6987968,45.3853718,  32.7,   1.2,1.2, 0.0,0,92.5,-75.6989180,45.3861992,-1.5,-1.4,-7.2,-0.7,-2.0,-5.9,8,8,
